"Method","MAD","MSE","MAPE_pct","RMSE","Final_TS"
"Multiplicative Decomposition",3.193,17.256,2.436,4.154,-4.78
"Additive Decomposition",3.603,20.117,2.748,4.485,-7.263
"Regression + Seasonal Dummies",9.409,120.969,7.273,10.999,0
"SMA-3",11.028,175.86,7.623,13.261,9.791
"Naïve",13,276.616,9.093,16.632,8.902
"SES (α=1.000)",13,276.623,9.093,16.632,8.902
"Holt's Trend (α=1.000, β=0.079)",13.32,302.855,9.182,17.403,13.403
"SMA-5",13.492,274.743,9.271,16.575,15.538
"Linear Trend (OLS)",14.516,325.699,10.833,18.047,0
"WMA-3 (0.5/0.3/0.2)",15.93,372.74,11.033,19.306,11.053
